Loading configuration : configs/config-2.4.txt
Reading file
Created Node 0: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20ClientSR_DT
Created Node 1: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20Server
Added link to node 0 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.1 up
Added link to node 1 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.1 up

simulation starts - first processing step with clock = 0

log: FT20-ClienteSR-DT time 0 node 0 SENDING: UPLOAD<earth.jpg, 0>
log:    FT20-Server time 20 node 1 GOT: UPLOAD<earth.jpg, 0>
log:    FT20-Server time 407 node 1 GOT: DATA<22, 368, len: 1000>
log:    FT20-Server time 407 node 1 SENDING: ACK<22, 22, 368>
log: FT20-ClienteSR-DT time 411 node 0 GOT: ACK<18, 18, 364>
log: FT20-ClienteSR-DT time 411 node 0 SENDING: DATA<28, 411, len: 1000>
log:    FT20-Server time 411 node 1 GOT: DATA<23, 369, len: 1000>
log:    FT20-Server time 411 node 1 SENDING: ACK<23, 23, 369>
log: FT20-ClienteSR-DT time 415 node 0 GOT: ACK<19, 19, 365>
log: FT20-ClienteSR-DT time 415 node 0 SENDING: DATA<29, 415, len: 1000>
log:    FT20-Server time 415 node 1 GOT: DATA<24, 370, len: 1000>
log:    FT20-Server time 415 node 1 SENDING: ACK<24, 24, 370>
log: FT20-ClienteSR-DT time 419 node 0 GOT: ACK<20, 20, 366>
log: FT20-ClienteSR-DT time 419 node 0 SENDING: DATA<30, 419, len: 1000>
log: FT20-ClienteSR-DT time 423 node 0 GOT: ACK<21, 21, 367>
log: FT20-ClienteSR-DT time 423 node 0 SENDING: DATA<31, 423, len: 1000>
log: FT20-ClienteSR-DT time 424 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 424 node 0 SENDING: DATA<22, 424, len: 1000>
log: FT20-ClienteSR-DT time 426 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 426 node 0 SENDING: DATA<23, 426, len: 1000>
log: FT20-ClienteSR-DT time 427 node 0 GOT: ACK<22, 22, 368>
log: FT20-ClienteSR-DT time 427 node 0 SENDING: DATA<32, 427, len: 1000>
log: FT20-ClienteSR-DT time 428 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 428 node 0 SENDING: DATA<24, 428, len: 1000>
log: FT20-ClienteSR-DT time 430 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 430 node 0 SENDING: DATA<25, 430, len: 1000>
log: FT20-ClienteSR-DT time 431 node 0 GOT: ACK<23, 23, 369>
log: FT20-ClienteSR-DT time 431 node 0 SENDING: DATA<33, 431, len: 1000>
log:    FT20-Server time 431 node 1 GOT: DATA<27, 407, len: 1000>
log:    FT20-Server time 431 node 1 SENDING: ACK<24, 27, 407>
log: FT20-ClienteSR-DT time 432 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 432 node 0 SENDING: DATA<26, 432, len: 1000>
log: FT20-ClienteSR-DT time 435 node 0 GOT: ACK<24, 24, 370>
log: FT20-ClienteSR-DT time 435 node 0 SENDING: DATA<34, 435, len: 1000>
log:    FT20-Server time 435 node 1 GOT: DATA<28, 411, len: 1000>
log:    FT20-Server time 435 node 1 SENDING: ACK<24, 28, 411>
