Loading configuration : configs/config-2.3.txt
Reading file
Created Node 0: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20ClientSR
Created Node 1: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20Server
Added link to node 0 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.0 up
Added link to node 1 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.0 up

simulation starts - first processing step with clock = 0

log: FT20-ClienteSR time 0 node 0 SENDING: UPLOAD<earth.jpg, 0>
log:    FT20-Server time 20 node 1 GOT: UPLOAD<earth.jpg, 0>
log:    FT20-Server time 2283 node 1 GOT: DATA<45, 2255, len: 1000>
log:    FT20-Server time 2283 node 1 SENDING: ACK<35, 45, 2255>
log: FT20-ClienteSR time 2287 node 0 GOT: ACK<35, 41, 2239>
log: FT20-ClienteSR time 2291 node 0 GOT: ACK<35, 42, 2243>
log: FT20-ClienteSR time 2295 node 0 GOT: ACK<35, 43, 2251>
log: FT20-ClienteSR time 2299 node 0 GOT: ACK<35, 44, 2252>
log: FT20-ClienteSR time 2303 node 0 GOT: ACK<35, 45, 2255>
log: FT20-ClienteSR time 3191 node 0 TIMEOUT...
log: FT20-ClienteSR time 3191 node 0 SENDING: DATA<36, 3191, len: 1000>
log:    FT20-Server time 3215 node 1 GOT: DATA<36, 3191, len: 1000>
log:    FT20-Server time 3215 node 1 SENDING: ACK<37, 36, 3191>
log: FT20-ClienteSR time 3225 node 0 TIMEOUT...
log: FT20-ClienteSR time 3225 node 0 SENDING: DATA<37, 3225, len: 1000>
log: FT20-ClienteSR time 3230 node 0 TIMEOUT...
log: FT20-ClienteSR time 3230 node 0 SENDING: DATA<38, 3230, len: 1000>
log:    FT20-Server time 3254 node 1 GOT: DATA<38, 3230, len: 1000>
log:    FT20-Server time 3254 node 1 SENDING: ACK<45, 38, 3230>
log: FT20-ClienteSR time 3274 node 0 GOT: ACK<45, 38, 3230>
log: FT20-ClienteSR time 3274 node 0 SENDING: DATA<46, 3274, len: 1000>
log: FT20-ClienteSR time 3275 node 0 SENDING: DATA<47, 3275, len: 1000>
log: FT20-ClienteSR time 3276 node 0 SENDING: DATA<48, 3276, len: 1000>
log: FT20-ClienteSR time 3277 node 0 SENDING: DATA<49, 3277, len: 1000>
log: FT20-ClienteSR time 3278 node 0 SENDING: DATA<50, 3278, len: 1000>
log: FT20-ClienteSR time 3279 node 0 SENDING: DATA<51, 3279, len: 1000>
log: FT20-ClienteSR time 3280 node 0 SENDING: DATA<52, 3280, len: 1000>
log: FT20-ClienteSR time 3281 node 0 SENDING: DATA<53, 3281, len: 1000>
log: FT20-ClienteSR time 3282 node 0 SENDING: DATA<54, 3282, len: 1000>
log: FT20-ClienteSR time 3283 node 0 SENDING: DATA<55, 3283, len: 1000>
log:    FT20-Server time 3298 node 1 GOT: DATA<46, 3274, len: 1000>
log:    FT20-Server time 3298 node 1 SENDING: ACK<46, 46, 3274>
log:    FT20-Server time 3302 node 1 GOT: DATA<48, 3276, len: 1000>
log:    FT20-Server time 3302 node 1 SENDING: ACK<46, 48, 3276>
log:    FT20-Server time 3306 node 1 GOT: DATA<49, 3277, len: 1000>
log:    FT20-Server time 3306 node 1 SENDING: ACK<46, 49, 3277>
log:    FT20-Server time 3310 node 1 GOT: DATA<50, 3278, len: 1000>
log:    FT20-Server time 3310 node 1 SENDING: ACK<46, 50, 3278>
log:    FT20-Server time 3314 node 1 GOT: DATA<51, 3279, len: 1000>
log:    FT20-Server time 3314 node 1 SENDING: ACK<46, 51, 3279>
log: FT20-ClienteSR time 3318 node 0 GOT: ACK<46, 46, 3274>
log: FT20-ClienteSR time 3318 node 0 SENDING: DATA<56, 3318, len: 1000>
log:    FT20-Server time 3318 node 1 GOT: DATA<52, 3280, len: 1000>
log:    FT20-Server time 3318 node 1 SENDING: ACK<46, 52, 3280>
log:    FT20-Server time 3322 node 1 GOT: DATA<53, 3281, len: 1000>
log:    FT20-Server time 3322 node 1 SENDING: ACK<46, 53, 3281>
log: FT20-ClienteSR time 3326 node 0 GOT: ACK<46, 49, 3277>
log:    FT20-Server time 3326 node 1 GOT: DATA<54, 3282, len: 1000>
log:    FT20-Server time 3326 node 1 SENDING: ACK<46, 54, 3282>
